ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Days in Subscription,Longterm(1) Short Term(0),Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Auto Renew On (1) Off (0),Country,User Type,Lead Platform,Email Subscriber,Subscriber(1) not (0),Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,Open Rate,Click Through Rate
43,RUS,Limited,INITIAL_PURCHASE,Web,39,USD,8/22/2019,11/25/2019,95.00,0.00,No,Yes,8/22/2019,8/25/2019,Off,0,Europe,Consumer,Web,No,0,Yes,79,56,1,38,1,48%,2%
65,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,8/24/2019,2/24/2020,184.00,0.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,38,3,0,3,0,8%,0%
71,ESP,Limited,INITIAL_PURCHASE,Web,34.64,USD,12/3/2019,3/3/2020,91.00,0.00,No,No,NULL,NULL,Off,0,Other,Other,Unknown,No,0,No,10,0,0,0,0,0%, 
79,FRA,Limited,INITIAL_PURCHASE,Web,119,USD,9/4/2019,3/7/2020,185.00,0.00,No,Yes,1/23/2020,1/26/2020,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,9,0,0,0,0,0%, 
84,RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,9/27/2019,12/30/2019,94.00,0.00,No,Yes,6/6/2019,6/9/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,2,0,0,0,0,0%, 
98,FRA,Limited,RENEWAL,Web,35.97,USD,9/22/2019,6/22/2020,274.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,4,0,0,0,0,0%, 
105,FRA,Limited,RENEWAL,Web,35.97,USD,10/18/2019,7/21/2020,277.00,1.00,No,Yes,10/18/2019,10/21/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,6,4,0,2,0,33%,0%
106,ENG,Limited,RENEWAL,Web,79,USD,7/14/2019,2/8/2020,209.00,1.00,No,Yes,7/14/2019,7/17/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,274,243,7,74,1,27%,0%
120,TUR,Limited,INITIAL_PURCHASE,Web,70.29,USD,10/19/2018,10/31/2020,743.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,2,0,0,0,0,0%, 
125,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,10/25/2019,1/24/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,99,2,1,2,1,2%,50%
150,JPN,Limited,RENEWAL,Web,79,USD,7/20/2019,4/20/2020,275.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,No,0,Yes,10,9,4,2,1,20%,11%
153,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/26/2019,11/29/2019,95.00,0.00,No,Yes,8/26/2019,8/29/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,78,0,0,0,0,0%, 
154,FRA,Limited,INITIAL_PURCHASE,Web,38.13,USD,9/19/2019,12/19/2019,91.00,0.00,No,No,NULL,NULL,Off,0,Other,Other,Unknown,No,0,No,51,2,0,2,0,4%,0%
172,ESP,Limited,RENEWAL,Web,79,USD,4/13/2019,1/13/2020,275.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,141,5,1,5,1,4%,20%
180,ESP,Limited,RENEWAL,Web,35.97,USD,7/11/2019,7/14/2020,369.00,1.00,No,Yes,7/11/2019,7/14/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,8,5,0,1,0,13%,0%
183,NED,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/16/2020,4/19/2020,94.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,28,24,17,7,3,25%,13%
187,ALL,Limited,INITIAL_PURCHASE,Web,99,USD,3/15/2020,3/15/2021,365.00,1.00,No,Yes,3/12/2020,3/15/2020,On,1,US/Canada,Consumer,Web,No,0,Yes,2,2,0,1,0,50%,0%
190,DEU,Limited,RENEWAL,Web,119,USD,10/21/2018,4/21/2020,548.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,2,1,0,1,0,50%,0%
194,ESP,Limited,INITIAL_PURCHASE,Web,38.81,USD,8/16/2019,11/16/2019,92.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,150,1,0,1,0,1%,0%
200,FRA,Limited,INITIAL_PURCHASE,Web,38.25,USD,1/28/2020,4/28/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,43,3,0,2,0,5%,0%
205,ENG,Limited,RENEWAL,Web,119,USD,8/7/2019,8/7/2020,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,4,0,0,0,0,0%, 
219,DEU,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/9/2020,5/9/2020,90.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,12,1,0,1,0,8%,0%
224,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/28/2020,6/14/2020,107.00,0.00,No,Yes,2/28/2020,3/2/2020,Off,0,Other,Consumer,Web,No,0,Yes,11,3,0,1,0,9%,0%
232,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/24/2018,4/12/2020,505.00,1.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,5,4,0,2,0,40%,0%
236,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,7/23/2019,10/26/2019,95.00,0.00,No,Yes,7/23/2019,7/26/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,181,7,0,6,0,3%,0%
241,NED,Limited,INITIAL_PURCHASE,Web,38.13,USD,11/20/2019,2/20/2020,92.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,63,3,3,1,1,2%,33%
246,ALL,Limited,INITIAL_PURCHASE,Web,116.01,USD,3/15/2020,3/15/2021,365.00,1.00,No,Yes,12/11/2019,12/14/2019,On,1,Europe,Consumer,Web,No,0,Yes,12,12,10,2,1,17%,8%
248,ENG,Limited,RENEWAL,Web,35.97,USD,8/24/2019,5/27/2020,277.00,1.00,No,Yes,8/24/2019,8/27/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,6,5,0,2,0,33%,0%
251,JPN,Limited,INITIAL_PURCHASE,Web,41.46,USD,1/9/2020,4/9/2020,91.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,14,1,1,1,1,7%,100%
275,ENG,Limited,RENEWAL,Web,35.97,USD,1/10/2020,7/10/2020,182.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,6,0,0,0,0,0%, 
278,ESP,Limited,INITIAL_PURCHASE,Web,207.9,USD,12/3/2019,12/3/2020,366.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,20,17,9,5,1,25%,6%
279,DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/16/2019,12/16/2020,396.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,5,3,0,2,0,40%,0%
283,ITA,Limited,INITIAL_PURCHASE,Web,69.5,USD,12/10/2019,6/18/2020,191.00,1.00,No,Yes,12/10/2019,12/13/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,131,0,0,0,0,0%, 
286,ESP,Limited,RENEWAL,Web,35.97,USD,3/1/2019,6/1/2020,458.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,6,5,0,2,0,33%,0%
292,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/8/2020,6/8/2020,92.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,7,0,0,0,0,0%, 
302,ESP,Limited,INITIAL_PURCHASE,Web,39,USD,8/11/2019,3/7/2020,209.00,1.00,No,Yes,8/11/2019,8/14/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,24,0,0,0,0,0%, 
304,RUS,Limited,RENEWAL,Web,79,USD,10/6/2019,4/6/2020,183.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,182,33,0,3,0,2%,0%
308,FRA,Limited,RENEWAL,Web,119,USD,2/4/2019,8/4/2020,547.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,5,2,0,1,0,20%,0%
326,ESP,Limited,RENEWAL,Web,119,USD,8/6/2019,8/6/2020,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,2,1,0,1,0,50%,0%
334,HEB,Limited,RENEWAL,Web,19.99,USD,9/27/2019,4/27/2020,213.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,4,0,0,0,0,0%, 
335,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/8/2019,3/8/2020,182.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,28,6,5,2,1,7%,17%
338,ESP,Limited,RENEWAL,Web,79,USD,2/4/2019,5/4/2020,455.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,14,13,0,3,0,21%,0%
345,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/27/2020,4/30/2020,94.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,30,28,0,9,0,30%,0%
348,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,3/23/2020,3/23/2022,730.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,45,0,0,0,0,0%, 
355,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/8/2020,7/8/2020,182.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,Web,No,0,Yes,17,11,3,5,2,29%,18%
357,ESP,Limited,INITIAL_PURCHASE,Web,42.46,USD,9/24/2019,3/27/2020,185.00,0.00,No,Yes,9/24/2019,9/27/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,7,1,0,1,0,14%,0%
362,ESP,Limited,RENEWAL,Web,35.97,USD,8/26/2019,5/29/2020,277.00,1.00,No,Yes,8/26/2019,8/29/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,6,5,0,2,0,33%,0%
364,ESP,Limited,RENEWAL,Web,35.97,USD,11/30/2019,5/29/2020,181.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,4,4,0,3,0,75%,0%
375,POR,Limited,RENEWAL,Web,35.97,USD,9/24/2019,6/24/2020,274.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,10,9,6,3,1,30%,11%
376,ENG,Limited,RENEWAL,Web,35.97,USD,12/15/2019,6/15/2020,183.00,0.00,No,Yes,12/8/2019,12/11/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,4,1,0,1,0,25%,0%
378,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/24/2020,6/30/2020,98.00,0.00,No,Yes,3/24/2020,3/27/2020,On,1,US/Canada,Consumer,Web,No,0,Yes,2,2,0,1,0,50%,0%
382,ENG,Limited,RENEWAL,Web,35.97,USD,1/14/2020,7/14/2020,182.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,8,0,0,0,0,0%, 
384,ESC,Limited,RENEWAL,Web,35.97,USD,9/5/2019,6/5/2020,274.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,6,6,0,3,0,50%,0%
387,POR,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/14/2019,10/14/2019,92.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,127,24,6,12,1,9%,4%
393,EBR,Limited,INITIAL_PURCHASE,Web,78,USD,11/12/2018,3/12/2020,486.00,1.00,No,No,NULL,NULL,Off,0,Other,Consumer,Web,No,0,Yes,9,9,0,2,0,22%,0%
401,DEU,Limited,RENEWAL,Web,119,USD,2/10/2019,2/10/2020,365.00,1.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,No,0,Yes,29,0,0,0,0,0%, 
406,ESP,Limited,INITIAL_PURCHASE,Web,42.27,USD,8/25/2019,2/28/2020,187.00,1.00,No,Yes,8/25/2019,8/28/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,17,0,0,0,0,0%, 
408,KOR,Limited,INITIAL_PURCHASE,Web,39,USD,1/13/2020,4/20/2020,98.00,0.00,No,Yes,1/13/2020,1/16/2020,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,14,2,0,2,0,14%,0%
417,ITA,Limited,INITIAL_PURCHASE,Web,65.94,USD,11/15/2019,11/15/2020,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,6,5,0,2,0,33%,0%
424,CHI,Limited,INITIAL_PURCHASE,Web,72.6,USD,11/17/2019,11/17/2020,366.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,2,0,0,0,0,0%, 
428,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,7/22/2019,10/25/2019,95.00,0.00,No,Yes,7/22/2019,7/25/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,122,0,0,0,0,0%, 
430,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/18/2020,5/18/2020,90.00,0.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,8,0,0,0,0,0%, 
432,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/15/2020,3/15/2021,365.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,7,0,0,0,0,0%, 
437,ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,3/19/2020,3/19/2021,365.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,24,15,15,1,1,4%,7%
445,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/16/2020,3/16/2021,365.00,1.00,No,Yes,2/18/2020,2/21/2020,On,1,US/Canada,Consumer,Web,Yes,1,Yes,51,1,1,1,1,2%,100%
448,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,6/10/2019,4/10/2020,305.00,1.00,No,Yes,1/7/2020,1/10/2020,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,21,8,0,2,0,10%,0%
454,ITA,Limited,INITIAL_PURCHASE,Web,38.22,USD,2/4/2020,5/4/2020,90.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,17,1,0,1,0,6%,0%
462,ESP,Limited,RENEWAL,Web,79,USD,10/24/2019,4/24/2020,183.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,9,7,0,2,0,22%,0%
468,ESP,Limited,INITIAL_PURCHASE,Web,126.44,USD,10/13/2019,4/16/2020,186.00,1.00,No,Yes,10/13/2019,10/16/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,5,4,0,3,0,60%,0%
476,ESP,Limited,RENEWAL,Web,79,USD,7/9/2019,4/12/2020,278.00,1.00,No,Yes,7/9/2019,7/12/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,5,2,0,1,0,20%,0%
480,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/31/2020,4/30/2020,90.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,14,0,0,0,0,0%, 
492,CHI,Limited,INITIAL_PURCHASE,Web,65.94,USD,1/20/2020,1/20/2021,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,96,81,13,28,3,29%,4%
531,DEU,Limited,INITIAL_PURCHASE,Web,99,USD,7/20/2019,7/20/2021,731.00,1.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,No,0,Yes,14,14,0,1,0,7%,0%
534,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/5/2020,4/5/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,86,82,44,13,2,15%,2%
539,RUS,Limited,RENEWAL,Web,79,USD,4/18/2019,10/18/2019,183.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,121,0,0,0,0,0%, 
542,FRA,Limited,RENEWAL,Web,79,USD,3/2/2019,12/2/2019,275.00,1.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,17,0,0,0,0,0%, 
544,HIN,Limited,INITIAL_PURCHASE,Web,35.97,USD,11/25/2019,6/26/2020,214.00,1.00,No,Yes,1/1/2020,1/4/2020,On,1,US/Canada,Consumer,Web,Yes,1,Yes,15,0,0,0,0,0%, 
549,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,1/23/2020,4/23/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,No,0,Yes,1,1,0,1,0,100%,0%
551,HIN,Limited,INITIAL_PURCHASE,Web,39,USD,7/5/2019,10/8/2019,95.00,0.00,No,Yes,7/5/2019,7/8/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,176,30,0,26,0,15%,0%
553,ESC,Limited,INITIAL_PURCHASE,Web,65.94,USD,2/13/2020,2/13/2021,366.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,77,25,1,23,1,30%,4%
555,FRA,Limited,INITIAL_PURCHASE,Web,39,USD,8/17/2019,11/20/2019,95.00,0.00,No,Yes,8/17/2019,8/20/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,55,0,0,0,0,0%, 
562,ESP,Limited,INITIAL_PURCHASE,Web,39.16,USD,9/27/2019,1/2/2020,97.00,0.00,No,Yes,9/27/2019,9/30/2019,Off,0,US/Canada,Consumer,Web,No,0,Yes,83,13,1,3,1,4%,8%
564,FRA,Limited,RENEWAL,Web,79,USD,6/1/2019,12/4/2019,186.00,1.00,No,Yes,6/1/2019,6/4/2019,Off,0,Europe,Consumer,Web,Yes,1,Yes,2,0,0,0,0,0%, 
566,ESP,Limited,RENEWAL,Web,35.97,USD,8/17/2019,5/20/2020,277.00,1.00,No,Yes,8/17/2019,8/20/2019,On,1,Other,Consumer,Web,Yes,1,Yes,5,0,0,0,0,0%, 
569,DEU,Limited,RENEWAL,Web,35.97,USD,8/26/2019,6/9/2020,288.00,1.00,No,Yes,8/26/2019,8/29/2019,On,1,US/Canada,Consumer,Web,Yes,1,Yes,5,2,0,1,0,20%,0%
580,ITA,Limited,INITIAL_PURCHASE,Web,71.22,USD,6/23/2019,6/23/2020,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Other,Web,Yes,1,Yes,1,0,0,0,0,0%, 
582,ITA,Limited,RENEWAL,Web,119,USD,9/29/2019,9/29/2020,366.00,1.00,No,No,NULL,NULL,On,1,Other,Other,Unknown,No,0,No,5,1,0,1,0,20%,0%
583,ESP,Limited,RENEWAL,Web,79,USD,5/15/2019,5/15/2020,366.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,7,6,1,3,1,43%,17%
586,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,9/27/2019,5/5/2020,221.00,1.00,No,Yes,10/4/2019,10/7/2019,On,1,Other,Consumer,Web,No,0,Yes,31,0,0,0,0,0%, 
601,ENG,Limited,INITIAL_PURCHASE,Web,39,USD,8/29/2019,3/1/2020,185.00,0.00,No,Yes,8/29/2019,9/1/2019,Off,0,Other,Consumer,Web,Yes,1,Yes,52,23,8,2,1,4%,4%
619,CHI,Limited,INITIAL_PURCHASE,Web,46.8,USD,11/23/2019,5/15/2020,174.00,0.00,No,No,NULL,NULL,Off,0,Europe,Consumer,Web,No,0,Yes,98,30,10,25,5,26%,17%
621,DEU,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/2/2019,3/2/2020,182.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,No,0,Yes,3,2,0,1,0,33%,0%
622,ESP,Limited,RENEWAL,Web,35.97,USD,10/22/2019,7/22/2020,274.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,15,13,0,2,0,13%,0%
624,ITA,Limited,RENEWAL,Web,79,USD,2/3/2019,11/3/2019,273.00,1.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,145,9,2,7,1,5%,11%
628,ESP,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/8/2019,3/8/2020,182.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,8,0,0,0,0,0%, 
655,ALL,Limited,INITIAL_PURCHASE,Web,104.39,USD,3/23/2020,3/23/2021,365.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,8,3,0,2,0,25%,0%
684,POL,Limited,INITIAL_PURCHASE,Web,41.63,USD,12/24/2019,3/24/2020,91.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,14,6,3,2,1,14%,17%
695,RUS,Limited,INITIAL_PURCHASE,Web,51.94,USD,8/26/2019,1/12/2020,139.00,0.00,Yes,No,NULL,NULL,Off,0,US/Canada,Consumer,App,Yes,1,Yes,29,22,22,1,1,3%,5%
712,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/16/2020,6/16/2020,92.00,0.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,10,2,0,2,0,20%,0%
719,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,9/21/2019,7/16/2020,299.00,1.00,Yes,No,NULL,NULL,Off,0,Other,Consumer,App,No,0,Yes,18,18,0,1,0,6%,0%
724,ESP,Limited,RENEWAL,Web,79,USD,11/10/2019,5/14/2020,186.00,1.00,No,Yes,11/10/2019,11/13/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,5,0,0,0,0,0%, 
732,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,7/25/2019,10/25/2019,92.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,200,26,5,12,2,6%,8%
736,DEU,Limited,RENEWAL,Web,79,USD,12/28/2018,3/28/2020,456.00,1.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,No,0,Yes,4,3,3,1,1,25%,33%
737,FRA,Limited,RENEWAL,Web,35.97,USD,1/15/2020,7/15/2020,182.00,0.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,App,Yes,1,Yes,43,16,0,11,0,26%,0%
750,ITA,Limited,INITIAL_PURCHASE,Web,35.97,USD,6/27/2019,3/30/2020,277.00,1.00,Yes,No,NULL,NULL,On,1,US/Canada,Consumer,Web,Yes,1,Yes,1,0,0,0,0,0%, 
753,ALL,Limited,INITIAL_PURCHASE,Web,95.88,USD,3/6/2020,3/6/2021,365.00,1.00,No,Yes,3/6/2020,3/9/2020,On,1,US/Canada,Consumer,Web,No,0,Yes,1,0,0,0,0,0%, 
755,FRA,Limited,INITIAL_PURCHASE,Web,35.97,USD,2/14/2020,5/14/2020,90.00,0.00,No,No,NULL,NULL,On,1,US/Canada,Consumer,Web,No,0,Yes,31,0,0,0,0,0%, 
758,POL,Limited,INITIAL_PURCHASE,Web,35.97,USD,3/21/2020,6/24/2020,95.00,0.00,No,Yes,3/21/2020,3/24/2020,On,1,Europe,Consumer,Web,No,0,Yes,1,0,0,0,0,0%, 
762,DEU,Limited,INITIAL_PURCHASE,Web,39,USD,8/13/2019,12/15/2019,124.00,0.00,No,Yes,8/13/2019,8/16/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,1,0,0,0,0,0%, 
768,RUS,Limited,INITIAL_PURCHASE,Web,39,USD,6/10/2019,6/13/2021,734.00,1.00,No,Yes,6/10/2019,6/13/2019,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,3,0,0,0,0,0%, 
770,CHI,Limited,INITIAL_PURCHASE,Web,34.39,USD,9/30/2019,12/30/2019,91.00,0.00,No,No,NULL,NULL,Off,0,US/Canada,Consumer,Web,Yes,1,Yes,128,0,0,0,0,0%, 
